Name                             , Qty , Price (EUR) ,
0.91 OLED SSD1306               , 1   , ,
0.1uf 0805 capacitors            , 90  , ,
4.7uf 0805 capacitors            , 3   , ,
1uf   0805 capacitor             , 3   , ,
MiniMELF diodes                  , 88  , ,
0603 GLED Vf2.1 30mA             , 7   , ,
USB-C Receptacles                , 2   , ,
SK6812MINI-E                     , 88  , ,
470Ω 0805 resistor               , 5   , ,
4.7kΩ 0805 resistor              , 5   , ,
5.1kΩ 0805 resistor              , 4   , ,
10kΩ 0805 resistor               , 2   , ,
1kΩ 0805 resistor                , 2   , ,
200Ω 0805 resistor               , 3   , ,
TPS2116DRL                       , 2   , ,
SN74LVC1T45DBVR                  , 1   , ,
CH224K                           , 2   , ,
ESP12-E                          , 1   , ,
Orph/Raspberry Pi Pico           , 1   , High Seas   ,
Case (Preferably pink else white ./production/case.3mf) , 1 , Me
Acrylic (./production/acrylic.dxf) , 1 , Hack Club ,
M2 Heatset Inserts 4OD 4mm       , 28  , 1.74        ,
M2 Torx Thin Head Bolts 5mm 14mm , 16  , 2.08        ,
M2 Torx Thin Head Bolts 5mm 5mm  , 12  , 1.62        ,
JWK Cupid Switch                 , 88  , 36.60/w ship,
2u MX stabilizor                 , 5   , 27.99 (20$ new member) ,
6.25u MX stabilizer              , 1   , ^           ,
PCB + Stencil                    , 1   , 27.2        ,
Total                            , 0   , 97.23$      ,
